CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2013,2014,2015,2016
23,CÓRDOBA,23807,TIERRALTA,,,"331,531,044.00","104,400,000.00"
23,CÓRDOBA,23855,VALENCIA,,,"233,215,632.00","66,000,000.00"
95,GUAVIARE,95015,CALAMAR,,,"51,530,604.00",
95,GUAVIARE,95025,EL RETORNO,,,"103,061,208.00",
95,GUAVIARE,95200,MIRAFLORES,,"31,200,000.00","63,200,000.00","800,000.00"
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,,"64,400,000.00","162,721,976.00","6,000,000.00"
44,LA GUAJIRA,44090,DIBULLA,"166,650,000.00","224,400,000.00","474,010,000.00",
47,MAGDALENA,47053,ARACATACA,"15,840,000.00","26,400,000.00","57,200,000.00",
47,MAGDALENA,47189,CIÉNAGA,"41,580,000.00","45,000,000.00","143,550,000.00",
47,MAGDALENA,47288,FUNDACIÓN,"116,160,000.00","185,400,000.00","384,800,000.00",
47,MAGDALENA,47001,SANTA MARTA (Distrito Turístico Cultural e Histórico),"102,630,000.00","123,600,000.00","267,800,000.00",
50,META,50251,EL CASTILLO,,,"418,200,000.00","5,400,000.00"
50,META,50350,LA MACARENA,,"94,000,000.00","255,000,000.00","12,200,000.00"
50,META,50330,MESETAS,,"126,000,000.00","330,800,000.00","2,400,000.00"
50,META,50450,PUERTO CONCORDIA,,"160,400,000.00","332,800,000.00","6,400,000.00"
50,META,50590,PUERTO RICO,,,"181,200,000.00","3,600,000.00"
50,META,50683,SAN JUAN DE ARAMA,,"24,400,000.00","47,200,000.00","1,200,000.00"
50,META,50370,URIBE,,,"164,400,000.00","1,200,000.00"
52,NARIÑO,52036,ANCUYA,,,"280,800,000.00","60,600,000.00"
52,NARIÑO,52079,BARBACOAS,,"223,200,000.00","117,200,000.00","1,600,000.00"
52,NARIÑO,52110,BUESACO,,"959,400,000.00","1,903,319,946.00",
52,NARIÑO,52233,CUMBITARA,,"224,640,000.00","463,786,784.00",
52,NARIÑO,52254,EL PEÑOL,,"975,000,000.00","1,925,340,000.00",
52,NARIÑO,52256,EL ROSARIO,,,"311,400,000.00","100,800,000.00"
52,NARIÑO,52258,EL TABLÓN,,"991,380,000.00","1,819,820,000.00",
52,NARIÑO,52260,EL TAMBO,,"688,740,000.00","1,455,992,020.00",
52,NARIÑO,52356,IPIALES,,"218,000,000.00","111,200,000.00",
52,NARIÑO,52378,LA CRUZ,,"81,120,000.00","264,940,572.00",
52,NARIÑO,52381,LA FLORIDA,,,"307,200,000.00","3,600,000.00"
52,NARIÑO,52385,LA LLANADA,,,"94,200,000.00",
52,NARIÑO,52405,LEIVA,,,"424,800,000.00","4,800,000.00"
52,NARIÑO,52411,LINARES,,"601,380,000.00","1,124,775,884.00",
52,NARIÑO,52418,LOS ANDES (Sotomayor),,"727,740,000.00","1,466,636,960.00",
52,NARIÑO,52540,POLICARPA,,"587,340,000.00","1,242,403,250.00",
52,NARIÑO,52678,SAMANIEGO,,,"177,000,000.00",
52,NARIÑO,52693,SAN PABLO,,"905,580,000.00","1,654,330,000.00",
52,NARIÑO,52835,TUMACO,,"4,635,048,000.00","572,936,796.00","274,800,000.00"
54,NORTE DE SANTANDER,54003,ÁBREGO,,"26,000,000.00","53,200,000.00",
54,NORTE DE SANTANDER,54128,CÁCHIRA,,"53,200,000.00","216,200,000.00","116,400,000.00"
54,NORTE DE SANTANDER,54206,CONVENCIÓN,"86,460,000.00",,"488,300,000.00",
54,NORTE DE SANTANDER,54245,EL CARMEN,"111,540,000.00",,"615,600,000.00",
54,NORTE DE SANTANDER,54344,HACARÍ,"65,010,000.00",,"49,400,000.00",
54,NORTE DE SANTANDER,54385,LA ESPERANZA,,"86,800,000.00","254,400,000.00","2,000,000.00"
54,NORTE DE SANTANDER,54670,SAN CALIXTO,"128,700,000.00",,"741,000,000.00",
54,NORTE DE SANTANDER,54720,SARDINATA,,"563,200,000.00",,
54,NORTE DE SANTANDER,54800,TEORAMA,,"86,130,000.00","494,000,000.00",
54,NORTE DE SANTANDER,54810,TIBÚ,,"1,438,950,000.00","646,990,000.00",
86,PUTUMAYO,86320,ORITO,,"453,360,000.00","1,241,806,439.00",
86,PUTUMAYO,86568,PUERTO ASÍS,"278,520,000.00","143,400,000.00","841,454,596.00","21,600,000.00"
86,PUTUMAYO,86569,PUERTO CAICEDO,,"270,000,000.00","142,400,000.00","1,600,000.00"
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,,"240,760,000.00","541,992,944.00","5,600,000.00"
86,PUTUMAYO,86757,SAN MIGUEL (La Dorada),,,"10,981,932.00",
