CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
20,CESAR,20770,SAN MARTÍN,,357.05,,,,,,,,,,,,3.00,3.00,3.00,1.58,2.57,3.42,10.21
27,CHOCÓ,27006,ACANDÍ,,,,,,,,,,,,,6.00,4.00,2.00,4.00,3.34,2.20,8.96,4.47
27,CHOCÓ,27025,ALTO BAUDÓ (Pie de Pató),,,,,45.00,12.00,104.00,7.00,259.00,391.00,159.00,489.00,196.00,268.00,105.00,135.00,47.87,57.97,39.17,21.62
27,CHOCÓ,27050,ATRATO (Yuto),,,,,,,,,,,4.00,,,8.00,2.00,,,,,
27,CHOCÓ,27075,BAHÍA SOLANO (Mutis),,,,,,,,,,,,7.00,,,,,,,,
27,CHOCÓ,27077,BAJO BAUDÓ  (Pizarro),,,,,177.00,78.00,332.00,82.00,353.00,"1,114.00",147.00,341.00,248.00,562.00,145.00,218.00,131.16,138.22,79.75,53.69
27,CHOCÓ,27099,BOJAYÁ (Bellavista),,,,,,,,,,,,,4.00,2.00,,,,,,
27,CHOCÓ,27150,CARMEN DEL DARIÉN  (Curbaradó),,,,,,,,,,,,,,63.00,76.00,23.00,48.14,98.28,159.99,153.39
27,CHOCÓ,27205,CONDOTO,,,,,,1.00,3.00,,6.00,55.00,13.00,33.00,59.00,10.00,7.00,10.00,20.57,3.36,13.53,11.43
27,CHOCÓ,27135,EL CANTÓN DEL SAN PABLO,,,,,1.35,12.00,48.00,,25.00,52.00,63.00,133.00,68.00,58.00,29.00,50.00,47.82,34.76,11.73,5.51
27,CHOCÓ,27250,EL LITORAL DEL SAN JUAN,,,,,,1.26,1.98,3.00,11.00,102.00,24.00,60.00,36.00,144.00,67.00,120.00,37.98,98.35,184.52,138.36
27,CHOCÓ,27361,ISTMINA,,,,,57.00,36.00,196.00,210.00,205.00,425.00,497.00,847.00,684.00,760.00,369.00,517.00,303.11,476.71,743.05,577.36
27,CHOCÓ,27372,JURADÓ,,,,,,,,,,,,13.00,18.00,9.00,9.00,,,,,
27,CHOCÓ,27413,LLORÓ,,,,,,,,,,,,10.00,,4.00,,,,,1.37,
27,CHOCÓ,27425,MEDIO ATRATO (Beté),,,,,,,,,,,,4.00,3.00,4.00,,,,,,
27,CHOCÓ,27430,MEDIO BAUDÓ (Boca de Pepé),,,,,4.23,11.00,68.00,24.00,77.00,228.00,254.00,333.00,352.00,606.00,177.00,231.00,134.81,68.85,64.52,43.42
27,CHOCÓ,27450,MEDIO SAN JUAN (Andagoya),,,,,,,,,,,,,,305.00,192.00,153.00,304.90,136.34,305.05,224.96
27,CHOCÓ,27491,NÓVITA,,,,,93.00,30.00,90.00,237.00,76.00,215.00,190.00,249.00,464.00,165.00,91.00,53.00,78.94,75.26,162.33,130.29
27,CHOCÓ,27495,NUQUÍ,,,,,,2.00,5.00,2.00,8.00,23.00,19.00,13.00,12.00,33.00,3.00,6.00,,,,
27,CHOCÓ,27001,QUIBDÓ,,,,,,,2.97,3.00,3.00,7.00,42.00,26.00,14.00,25.00,11.00,2.00,5.76,3.75,7.16,3.52
27,CHOCÓ,27580,RÍO IRÓ (Santa Rita),,,,,,,,,,,,,,12.00,12.00,13.00,14.05,7.90,27.68,16.33
27,CHOCÓ,27600,RÍO QUITO (Paimadó),,,,,,9.00,21.00,,22.00,9.00,,30.00,16.00,16.00,3.00,3.00,2.59,,,
27,CHOCÓ,27615,RIOSUCIO,,250.00,354.00,,,,,,,,75.00,243.00,86.00,196.00,130.00,40.00,90.70,35.75,113.87,104.01
27,CHOCÓ,27660,SAN JOSÉ DEL PALMAR,,,,,,,,,7.00,94.00,57.00,107.00,104.00,43.00,92.00,47.00,44.43,323.42,392.52,391.55
27,CHOCÓ,27745,SIPÍ,,,,,76.00,127.00,150.00,248.00,28.00,74.00,122.00,191.00,130.00,125.00,106.00,99.00,91.25,217.90,258.00,246.96
27,CHOCÓ,27787,TADÓ,,,,,,2.00,1.53,,,5.00,,,4.00,3.00,2.00,3.00,5.51,3.16,2.71,
27,CHOCÓ,27800,UNGUÍA,,,,,,,,,,,,29.00,6.00,4.00,31.00,14.00,75.87,20.66,34.68,28.26
27,CHOCÓ,27810,UNIÓN PANAMERICANA (Ánimas),,,,,,2.07,1.41,,,,,,1.00,,,,,,,
23,CÓRDOBA,23350,LA APARTADA,,,6.56,,,,,,,,,,,,,,,,,
23,CÓRDOBA,23466,MONTELÍBANO,719.42,48.41,40.55,66.00,232.66,428.00,"1,021.00",376.00,360.00,621.00,681.00,835.00,240.00,224.00,43.00,77.00,186.65,573.86,"1,181.13",974.04
23,CÓRDOBA,23580,PUERTO LIBERTADOR,483.42,54.83,270.78,141.00,193.00,339.00,978.00,447.00,"1,084.00",464.00,728.00,579.00,243.00,214.00,36.00,64.00,207.45,570.62,"1,412.22","1,013.93"
23,CÓRDOBA,23682,SAN JOSÉ DE URÉ,,,,,,,,,,,,,,99.00,13.00,42.00,97.97,231.94,552.70,441.70
23,CÓRDOBA,23807,TIERRALTA,684.22,13.44,322.01,178.00,399.00,669.00,"1,124.00",389.00,414.00,624.00,"1,360.00","2,474.00",604.00,509.00,341.00,376.00,858.62,"1,290.07","1,629.68","2,201.26"
23,CÓRDOBA,23855,VALENCIA,33.67,,,,13.04,99.00,13.00,4.00,,1.00,12.00,1.00,1.00,,6.00,1.00,12.31,1.80,4.71,5.48
25,CUNDINAMARCA,25148,CAPARRAPÍ,,,,,,,,3.00,4.00,,,1.00,1.00,,,,,,,
25,CUNDINAMARCA,25518,PAIME,,,,,12.00,4.00,,2.00,2.00,,,,,,,,,,,
25,CUNDINAMARCA,25823,TOPAIPÍ,,,,,5.94,8.00,,2.00,1.00,,,,,,,,,,,
25,CUNDINAMARCA,25885,YACOPÍ,,65.80,1.62,57.00,39.00,60.00,56.00,113.00,124.00,12.00,,31.00,17.00,,,,,,,
94,GUAINÍA,94343,BARRANCO MINA (Cor. Departamental),,542.21,363.81,232.00,405.00,342.00,396.00,362.00,308.00,155.00,275.00,122.00,89.00,67.00,30.00,11.00,4.34,2.28,,
94,GUAINÍA,94001,INIRIDA,,37.22,276.00,247.00,137.00,134.00,182.00,186.00,150.00,187.00,114.00,147.00,135.00,105.00,27.00,19.00,,,,
94,GUAINÍA,94663,MAPIRIPANA (Cor. Departamental),,,,,,,,,,,,,,50.00,19.00,28.00,16.71,3.46,3.72,
94,GUAINÍA,94888,MORICHAL (Morichal Nuevo) (Cor. Departamental),,238.66,221.00,114.00,162.00,185.00,117.00,164.00,102.00,117.00,77.00,93.00,66.00,62.00,4.00,3.00,15.68,15.87,26.82,41.22
94,GUAINÍA,94887,PANÁ PANÁ (Campo Alegre) (Cor. Departamental),,34.90,68.00,38.00,7.00,43.00,38.00,27.00,28.00,40.00,30.00,29.00,28.00,12.00,1.00,2.00,,,,
94,GUAINÍA,94884,PUERTO COLOMBIA (Cor. Departamental),,,191.00,117.00,15.00,17.28,19.00,14.00,35.00,126.00,42.00,55.00,,5.00,,3.00,,,,
95,GUAVIARE,95015,CALAMAR,"4,467.95","2,926.32","4,966.03","4,297.00","2,172.00","1,186.00","1,175.00","1,497.00","1,147.00",808.00,721.00,546.00,862.00,458.00,399.00,614.00,455.19,542.29,416.39,241.84
95,GUAVIARE,95025,EL RETORNO,"6,699.75","2,235.62","4,230.99","4,458.00","5,070.00","3,183.00","2,648.00","2,799.00","3,272.00","2,415.00","2,371.00","1,732.00","1,701.00","1,028.00","1,314.00","1,600.00","1,615.35","2,191.55","1,405.66","1,545.09"
95,GUAVIARE,95200,MIRAFLORES,"10,608.40","9,770.62","11,777.05","14,606.00","2,248.00","1,646.00","1,704.00","1,382.00","1,699.00","1,263.00","2,325.00","1,719.00","2,590.00","1,391.00","1,780.00","1,922.00","1,851.54","2,297.16","1,699.29","1,378.40"
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,"6,658.90","2,686.49","3,089.50","4,019.00","6,673.00","3,755.00","3,131.00","3,799.00","3,181.00","2,143.00","2,907.00","1,704.00","1,686.00",973.00,"1,232.00","1,522.00","1,501.04","1,806.99","1,401.33","1,174.63"
44,LA GUAJIRA,44090,DIBULLA,,138.11,193.71,349.00,275.31,556.00,327.00,166.00,87.00,160.00,163.00,132.00,16.00,10.00,6.00,,,,1.69,1.61
44,LA GUAJIRA,44001,RIOHACHA,,107.11,,5.00,0.21,,2.00,,,,,2.00,,,,,,,,
44,LA GUAJIRA,44650,SAN JUAN DEL CESAR,,76.62,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
47,MAGDALENA,47053,ARACATACA,14.00,,,,,,,,,,22.00,36.00,13.00,6.00,1.00,1.00,2.09,,,
47,MAGDALENA,47189,CIÉNAGA,57.00,9.63,11.67,1.00,45.13,6.00,,13.00,1.00,23.00,4.00,20.00,3.00,3.00,,,,,,
47,MAGDALENA,47288,FUNDACIÓN,,,,,,,,,,,15.00,,,,1.00,,,,,
47,MAGDALENA,47001,SANTA MARTA (Distrito Turístico Cultural e Histórico),450.00,190.84,438.58,643.00,439.00,700.00,213.00,258.00,277.00,368.00,111.00,65.00,30.00,28.00,35.00,8.00,4.72,34.93,7.88,12.45
50,META,50251,EL CASTILLO,,0.48,,,,,,,,,,,,,,,,,,
50,META,50350,LA MACARENA,"4,885.89","4,829.34","4,203.06","2,084.00","1,033.00","1,422.00",660.00,574.00,565.00,218.00,189.00,186.00,151.00,228.00,307.00,"1,431.00","1,333.11","1,635.22","1,647.55",560.18
50,META,50400,LEJANÍAS,,,,,,,,,,,,,,,,3.00,,,,
50,META,50325,MAPIRIPÁN,,"1,360.56","1,805.41","2,141.00","5,368.00","2,657.00","2,658.00","3,311.00","2,230.00","2,180.00","2,123.00","1,144.00","1,109.00",144.00,437.00,180.00,235.28,338.43,315.66,231.86
50,META,50330,MESETAS,903.42,908.93,533.66,619.00,533.00,262.00,143.00,67.00,56.00,62.00,19.00,7.00,,29.00,37.00,79.00,78.50,104.19,86.72,45.15
