CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2005,2006,2007,2008,2009,2010,2011
25,CUNDINAMARCA,25148,CAPARRAPÍ,,,,"343,968,000.00",,"289,190,080.00","166,666,667.00"
25,CUNDINAMARCA,25518,PAIME,,,,"523,228,000.00",,,
25,CUNDINAMARCA,25823,TOPAIPÍ,,,,"382,700,000.00",,,
25,CUNDINAMARCA,25885,YACOPÍ,,,,0.00,,"289,190,080.00","333,333,334.00"
95,GUAVIARE,95025,EL RETORNO,,"275,085,500.00","319,586,157.00","83,567,812.00",,"72,789,997.00",
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,,"540,213,000.00","291,793,079.00","120,000,000.00","47,928,000.00","78,855,831.00",
41,HUILA,41306,GIGANTE,,,0.00,"197,114,886.00",,,
41,HUILA,41357,ÍQUIRA,,,"256,511,498.00","61,093,663.00",,,
41,HUILA,41396,LA PLATA,,,"350,317,465.00","197,114,886.00",,,
41,HUILA,41483,NÁTAGA,,"57,101,797.00","7,632,300,199.00",,,,
41,HUILA,41503,OPORAPA,,,"619,065,624.00",,,,
41,HUILA,41551,PITALITO,,,"80,000,000.00","17,310,289.00",,,
41,HUILA,41660,SALADOBLANCO,,,"488,096,793.00",,,,
41,HUILA,41668,SAN AGUSTÍN,,,"1,532,045,793.00",,"85,000,000.00",,
41,HUILA,41676,SANTA MARÍA,,"48,648,003.00","735,652,474.00",,,,
41,HUILA,41791,TARQUI,,,"109,343,000.00",,,,
41,HUILA,41801,TERUEL,,,"411,744,041.00","50,266,937.00",,,
41,HUILA,41807,TIMANÁ,,,,"598,330,500.00",,"47,000,000.00",
44,LA GUAJIRA,44090,DIBULLA,,,,,"1,078,614,800.00",,
44,LA GUAJIRA,44560,MANAURE,,,,,0.00,,"32,750,000.00"
44,LA GUAJIRA,44847,URIBIA,,,,,"106,120,000.00",,
47,MAGDALENA,47030,ALGARROBO,,,,,,0.00,
47,MAGDALENA,47053,ARACATACA,,,,,"1,058,339,031.00","636,082,861.00",
47,MAGDALENA,47058,ARIGUANÍ (El Difícil),,,"9,562,859.00",,,,
47,MAGDALENA,47189,CIÉNAGA,,,,,,"370,000,000.00",
47,MAGDALENA,47288,FUNDACIÓN,,,,,"1,263,150,829.00","784,486,131.00","510,310,911.00"
47,MAGDALENA,47001,SANTA MARTA (Distrito Turístico Cultural e Histórico),,"5,106,694,629.00","930,183,051.00","1,141,686,567.00","189,994,376.00","350,538,251.00",
50,META,50450,PUERTO CONCORDIA,,,"964,337,542.00",,"35,000,000.00","902,547,415.00",
50,META,50590,PUERTO RICO,,,"185,496,667.00",,"35,000,000.00",,
50,META,50711,VISTAHERMOSA,,,"581,596,667.00",,"65,000,000.00","218,369,993.00",
52,NARIÑO,52019,ALBÁN (San José),,"73,929,690.00","263,060,266.00",0.00,"73,407,466.00","38,431,628.00",
52,NARIÑO,52022,ALDANA,,,,"40,950,000.00",,,
