CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2012,2013,2014
47,MAGDALENA,47001,SANTA MARTA (Distrito Turístico Cultural e Histórico),14920233,99676237,112195174
47,MAGDALENA,47980,ZONA BANANERA (Prado Sevilla),,,8554662
50,META,50270,EL DORADO,,21020158,
50,META,50287,FUENTE DE ORO,,,17679634
50,META,50313,GRANADA,25294458,,139155832
50,META,50330,MESETAS,,5198534,
50,META,50577,PUERTO LLERAS,,74526573,
50,META,50590,PUERTO RICO,,40397068,57031078
50,META,50683,SAN JUAN DE ARAMA,,,92882633
50,META,50689,SAN MARTÍN,,11527184,
50,META,50711,VISTAHERMOSA,,42657300,74140402
52,NARIÑO,52022,ALDANA,,24862553,33000000
52,NARIÑO,52227,CUMBAL,,15595602,108359049
52,NARIÑO,52317,GUACHUCAL,,11527184,99648336
52,NARIÑO,52352,ILES,,46334759,33000000
52,NARIÑO,52356,IPIALES,,9718998,
52,NARIÑO,52378,LA CRUZ,,19211973,
52,NARIÑO,52399,LA UNIÓN,68772950,64868662,215577477
52,NARIÑO,52405,LEIVA,,22150275,
52,NARIÑO,52411,LINARES,,,10265594
52,NARIÑO,52001,PASTO,,,217624644
52,NARIÑO,52573,PUERRES,,4520464,
52,NARIÑO,52694,SAN PEDRO DE CARTAGO (Cartago),,13109346,
52,NARIÑO,52835,TUMACO,285466025,261777643,97367093
54,NORTE DE SANTANDER,54003,ÁBREGO,,6102627,
54,NORTE DE SANTANDER,54245,EL CARMEN,5595087,23054368,
54,NORTE DE SANTANDER,54344,HACARÍ,,9718998,
54,NORTE DE SANTANDER,54498,OCAÑA,12822075,32773365,
54,NORTE DE SANTANDER,54720,SARDINATA,14220847,,70148227
54,NORTE DE SANTANDER,54800,TEORAMA,8159503,22150275,49046728
54,NORTE DE SANTANDER,54810,TIBÚ,75650245,117758093,
86,PUTUMAYO,86001,MOCOA,,19664020,18249945
86,PUTUMAYO,86320,ORITO,,16273672,
86,PUTUMAYO,86568,PUERTO ASÍS,,9040929,
86,PUTUMAYO,86749,SIBUNDOY,,10623091,
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ (La Hormiga),61196269,166805131,
86,PUTUMAYO,86885,VILLAGARZÓN,,28930971,
63,QUINDIO,63130,CALARCÁ,,,128890238
63,QUINDIO,63401,LA TEBAIDA,,,12546837
66,RISARALDA,66170,DOSQUEBRADAS,,,7414040
66,RISARALDA,66001,PEREIRA,,,1140622
66,RISARALDA,66594,QUINCHÍA,,5650580,
66,RISARALDA,66682,SANTA ROSA DE CABAL,,2034209,33000000
66,RISARALDA,66687,SANTUARIO,,,26804607
68,SANTANDER,68077,BARBOSA,,,1140622
68,SANTANDER,68081,BARRANCABERMEJA,,140360415,33000000
68,SANTANDER,68101,BOLÍVAR,,9945021,
68,SANTANDER,68001,BUCARAMANGA,,7910812,
68,SANTANDER,68147,CAPITANEJO,,,10265594
68,SANTANDER,68162,CERRITO,,,18820256
68,SANTANDER,68179,CHIPATÁ,,,11976527
68,SANTANDER,68235,EL CARMEN,15036798,29156995,
68,SANTANDER,68276,FLORIDABLANCA,,,3421865
68,SANTANDER,68385,LANDÁZURI,35901811,99615150,
68,SANTANDER,68406,LEBRIJA,,47464875,33000000
68,SANTANDER,68432,MÁLAGA,,,23382742
68,SANTANDER,68498,OCAMONTE,,,138015210
68,SANTANDER,68547,PIEDECUESTA,,,570311
68,SANTANDER,68615,RIONEGRO,,70293219,
68,SANTANDER,68655,SABANA DE TORRES,,10171045,
68,SANTANDER,68689,SAN VICENTE DE CHUCURÍ,24595072,64868662,
68,SANTANDER,68745,SIMACOTA,,,68929580
68,SANTANDER,68755,SOCORRO,,,2281243
70,SUCRE,70230,CHALÁN,11073611,21472205,
70,SUCRE,70204,COLOSÓ,8159503,15821625,15968702
70,SUCRE,70418,LOS PALMITOS,,,108202999
70,SUCRE,70473,MORROA,,33842395,
70,SUCRE,70670,SAMPUÉS,,,18820256
70,SUCRE,70001,SINCELEJO,,11979230,107140402
73,TOLIMA,73067,ATACO,,24636530,
73,TOLIMA,73168,CHAPARRAL,12472382,41301161,1140622
73,TOLIMA,73001,IBAGUÉ,,2034209,23953053
73,TOLIMA,73483,NATAGAIMA,,8588882,
73,TOLIMA,73504,ORTEGA,,33677459,
73,TOLIMA,73555,PLANADAS,,11301160,
73,TOLIMA,73616,RIOBLANCO,,13561393,
73,TOLIMA,73675,SAN ANTONIO,,13335370,
76,VALLE DEL CAUCA,76109,BUENAVENTURA,,621086939,
76,VALLE DEL CAUCA,76111,BUGA,,,29656161
76,VALLE DEL CAUCA,76001,CALI,,3164325,37640512
76,VALLE DEL CAUCA,76275,FLORIDA,,,15968702
76,VALLE DEL CAUCA,76364,JAMUNDÍ,,2938302,
76,VALLE DEL CAUCA,76828,TRUJILLO,,4520464,
