CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2009,2010,2011,2012,2013,2014
52,NARIÑO,52250,EL CHARCO,"4,362.77","3,230.66","2,726.82","2,119.68",417.97,"1,437.21"
52,NARIÑO,52254,EL PEÑOL,,,,,,63.15
52,NARIÑO,52256,EL ROSARIO,,,209.89,,,
52,NARIÑO,52356,IPIALES,,221.87,84.96,157.19,277.95,124.25
52,NARIÑO,52385,LA LLANADA,,262.13,,203.76,58.88,40.15
52,NARIÑO,52390,LA TOLA,317.33,286.11,195.71,143.38,77.06,219.68
52,NARIÑO,52405,LEIVA,31.45,,52.92,,,
52,NARIÑO,52411,LINARES,,,,,,38.66
52,NARIÑO,52418,LOS ANDES,,,,803.05,35.20,163.44
52,NARIÑO,52427,MAGÜÍ,"9,119.93","2,393.10","7,899.53","9,678.21","1,220.28","1,885.53"
52,NARIÑO,52473,MOSQUERA,,469.20,31.74,445.04,"1,384.21","1,363.96"
52,NARIÑO,52490,OLAYA HERRERA,"3,165.61","2,343.02",966.45,"1,164.22",,780.56
52,NARIÑO,52520,FRANCISCO PIZARRO,639.46,580.19,417.20,570.44,236.28,211.99
52,NARIÑO,52540,POLICARPA,114.29,321.77,,,,
52,NARIÑO,52612,RICAURTE,,,,12.45,,
52,NARIÑO,52621,ROBERTO PAYÁN,"9,423.19","5,098.92","8,703.75","9,614.60","1,152.59","2,929.01"
52,NARIÑO,52678,SAMANIEGO,,227.86,,73.98,361.80,88.22
52,NARIÑO,52683,SANDONÁ,,,,,,65.18
52,NARIÑO,52696,SANTA BÁRBARA,828.95,"2,722.21","1,088.47",186.26,546.68,414.44
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,"5,892.23","2,959.07","5,921.33","6,849.31","1,636.38","4,164.65"
54,NORTE DE SANTANDER,54128,CÁCHIRA,36.17,78.19,,,,
54,NORTE DE SANTANDER,54250,EL TARRA,225.89,,,,,
54,NORTE DE SANTANDER,54385,LA ESPERANZA,60.08,57.16,,,,
54,NORTE DE SANTANDER,54720,SARDINATA,276.16,,,,,
54,NORTE DE SANTANDER,54800,TEORAMA,106.55,,,,,
54,NORTE DE SANTANDER,54810,TIBÚ,"1,178.37",13.15,,,,
68,SANTANDER,68101,BOLÍVAR,275.90,116.67,,,,
68,SANTANDER,68190,CIMITARRA,461.30,23.38,86.38,,,
68,SANTANDER,68250,EL PEÑÓN,49.15,,,,,
68,SANTANDER,68255,EL PLAYÓN,0.82,6.18,,,,
68,SANTANDER,68385,LANDÁZURI,16.72,,,,,
