CODDEPTO,DEPARTAMENTO,CODMPIO,MUNICIPIO,2005,2006,2007,2008
18,CAQUETÁ,18029,ALBANIA,371.87,45.37,,186.40
18,CAQUETÁ,18094,BELÉN DE LOS ANDAQUÍES,,269.01,,266.43
18,CAQUETÁ,18150,CARTAGENA DEL CHAIRÁ,200.07,57.05,,986.34
18,CAQUETÁ,18205,CURILLO,680.68,420.82,"2,098.15",911.93
18,CAQUETÁ,18247,EL DONCELLO,199.27,6.90,,71.17
18,CAQUETÁ,18256,EL PAUJÍL,,127.64,,70.28
18,CAQUETÁ,18410,LA MONTAÑITA,176.49,373.31,1.74,"1,641.24"
18,CAQUETÁ,18460,MILÁN,102.67,251.95,"1,355.39","1,619.45"
18,CAQUETÁ,18479,MORELIA,,,,
18,CAQUETÁ,18592,PUERTO RICO,"1,863.89",228.79,536.50,986.11
18,CAQUETÁ,18610,SAN JOSÉ DEL FRAGUA,,"1,641.95",303.25,867.25
18,CAQUETÁ,18753,SAN VICENTE DEL CAGUÁN,362.73,99.59,,610.77
18,CAQUETÁ,18756,SOLANO,442.30,101.81,240.12,"2,295.13"
18,CAQUETÁ,18785,SOLITA,205.02,490.91,142.05,207.03
18,CAQUETÁ,18860,VALPARAÍSO,732.88,459.60,339.04,312.48
19,CAUCA,19050,ARGELIA,247.88,,868.81,439.83
19,CAUCA,19075,BALBOA,500.74,,634.24,
19,CAUCA,19100,BOLÍVAR,"1,242.53",,87.41,95.04
19,CAUCA,19256,EL TAMBO,,,204.61,
19,CAUCA,19318,GUAPÍ,,141.88,,"2,937.65"
19,CAUCA,19397,LA VEGA,,,24.16,
19,CAUCA,19418,LÓPEZ DE MICAY,,32.37,,
19,CAUCA,19450,MERCADERES,31.80,,196.78,74.18
19,CAUCA,19532,PATÍA,426.16,,751.30,103.89
19,CAUCA,19533,PIAMONTE,824.27,856.42,790.17,"1,463.58"
19,CAUCA,19693,SAN SEBASTIÁN,,,,
19,CAUCA,19701,SANTA ROSA,,70.89,,
19,CAUCA,19760,SOTARA,19.04,,,
19,CAUCA,19809,TIMBIQUÍ,,434.16,,"1,777.08"
23,CÓRDOBA,23068,AYAPEL,32.84,,,
23,CÓRDOBA,23417,LORICA,101.42,,,
23,CÓRDOBA,23466,MONTELÍBANO,116.62,"1,072.11","2,955.07","1,255.46"
23,CÓRDOBA,23574,PUERTO ESCONDIDO,,,,101.51
23,CÓRDOBA,23580,PUERTO LIBERTADOR,"1,516.15","2,697.21","2,789.41","1,826.46"
23,CÓRDOBA,23807,TIERRALTA,,"1,818.48",514.44,377.50
25,CUNDINAMARCA,25148,CAPARRAPÍ,43.20,,,
25,CUNDINAMARCA,25885,YACOPÍ,,40.90,,
27,CHOCÓ,27745,SIPÍ,425.22,,,
44,LA GUAJIRA,44001,RIOHACHA,38.67,,,
44,LA GUAJIRA,44090,DIBULLA,533.82,,,
47,MAGDALENA,47001,SANTA MARTA,376.05,,,
47,MAGDALENA,47189,CIÉNAGA,7.12,,,
50,META,50001,VILLAVICENCIO,73.48,,,
50,META,50287,FUENTE DE ORO,6.40,,,
50,META,50325,MAPIRIPÁN,"2,612.29","2,966.69","2,998.40","4,137.08"
50,META,50350,LA MACARENA,,844.50,46.70,
50,META,50450,PUERTO CONCORDIA,"1,285.67","2,151.77",491.96,508.04
50,META,50568,PUERTO GAITÁN,,,78.21,598.12
50,META,50577,PUERTO LLERAS,"3,206.65","5,430.66","4,702.19",394.38
50,META,50590,PUERTO RICO,"4,229.85","8,273.06","5,346.09","1,924.40"
50,META,50680,SAN CARLOS DE GUAROA,110.50,,,
50,META,50683,SAN JUAN DE ARAMA,,56.49,,
50,META,50689,SAN MARTÍN,,148.07,,150.35
50,META,50711,VISTAHERMOSA,"2,927.70","6,043.77","1,863.21","1,344.61"
52,NARIÑO,52001,PASTO,88.00,,,
52,NARIÑO,52079,BARBACOAS,"6,976.60","6,722.22","1,671.65","3,111.15"
52,NARIÑO,52083,BELÉN,,28.38,,
52,NARIÑO,52110,BUESACO,,288.90,,
52,NARIÑO,52227,CUMBAL,,,19.32,
52,NARIÑO,52233,CUMBITARA,,"2,610.43","1,111.44",177.37
52,NARIÑO,52250,EL CHARCO,"7,783.53","5,933.20","4,256.11","9,869.19"
52,NARIÑO,52256,EL ROSARIO,,"1,591.67",959.04,373.85
52,NARIÑO,52260,EL TAMBO,,,522.98,
52,NARIÑO,52356,IPIALES,,660.28,170.96,147.61
52,NARIÑO,52390,LA TOLA,153.78,483.49,324.10,667.39
52,NARIÑO,52405,LEIVA,574.72,247.45,241.10,102.83
52,NARIÑO,52418,LOS ANDES,,214.53,5.45,
52,NARIÑO,52427,MAGÜÍ,"9,694.04","7,993.48","5,036.73","8,398.43"
52,NARIÑO,52473,MOSQUERA,,"1,010.52",395.78,251.94
52,NARIÑO,52490,OLAYA HERRERA,"2,103.06","5,715.20","2,366.24","4,804.21"
52,NARIÑO,52520,FRANCISCO PIZARRO,402.96,"1,332.49",193.42,"2,454.28"
52,NARIÑO,52540,POLICARPA,,"1,539.40",503.53,354.99
52,NARIÑO,52612,RICAURTE,,84.99,,
52,NARIÑO,52621,ROBERTO PAYÁN,"1,290.13","6,054.33","3,505.34","10,726.45"
52,NARIÑO,52678,SAMANIEGO,,,,0.29
52,NARIÑO,52694,SAN PEDRO DE CARTAGO,,64.97,,
52,NARIÑO,52696,SANTA BÁRBARA,,"2,873.03","1,134.58","3,055.55"
52,NARIÑO,52786,TAMINANGO,,,76.13,
52,NARIÑO,52835,SAN ANDRÉS DE TUMACO,"28,563.16","14,415.58","13,780.65","9,554.86"
54,NORTE DE SANTANDER,54003,ÁBREGO,68.67,,,
54,NORTE DE SANTANDER,54128,CÁCHIRA,,,,
54,NORTE DE SANTANDER,54250,EL TARRA,,314.43,688.17,797.04
54,NORTE DE SANTANDER,54261,EL ZULIA,30.61,,,
54,NORTE DE SANTANDER,54344,HACARÍ,39.90,,,17.13
54,NORTE DE SANTANDER,54385,LA ESPERANZA,,,,
54,NORTE DE SANTANDER,54670,SAN CALIXTO,35.28,95.67,,43.20
54,NORTE DE SANTANDER,54720,SARDINATA,67.85,405.97,247.28,133.29
54,NORTE DE SANTANDER,54800,TEORAMA,,,293.43,96.03
54,NORTE DE SANTANDER,54810,TIBÚ,656.74,870.67,"1,454.39","1,777.17"
68,SANTANDER,68081,BARRANCABERMEJA,72.04,,,
68,SANTANDER,68092,BETULIA,,,,
68,SANTANDER,68101,BOLÍVAR,"1,346.27","1,443.19","1,225.19",59.35
68,SANTANDER,68190,CIMITARRA,34.26,24.38,160.05,176.41
68,SANTANDER,68250,EL PEÑÓN,145.41,199.81,,
68,SANTANDER,68255,EL PLAYÓN,,,,
68,SANTANDER,68377,LA BELLEZA,,110.83,72.38,
68,SANTANDER,68385,LANDÁZURI,54.83,25.80,112.75,
68,SANTANDER,68573,PUERTO PARRA,,,,53.70
68,SANTANDER,68745,SIMACOTA,,,,
68,SANTANDER,68773,SUCRE,389.34,342.09,183.18,132.92
76,VALLE DEL CAUCA,76563,PRADERA,5.26,,,
81,ARAUCA,81065,ARAUQUITA,"1,511.51",928.96,"1,854.35","1,375.60"
81,ARAUCA,81300,FORTUL,135.09,259.00,403.11,724.34
81,ARAUCA,81591,PUERTO RONDÓN,32.22,,,
81,ARAUCA,81736,SARAVENA,534.58,150.15,300.51,132.28
81,ARAUCA,81794,TAME,370.65,61.97,136.69,64.11
86,PUTUMAYO,86001,MOCOA,74.61,44.56,149.16,42.71
86,PUTUMAYO,86320,ORITO,345.50,"3,583.85","4,443.69","4,221.78"
86,PUTUMAYO,86568,PUERTO ASÍS,"2,925.07","4,192.84","5,147.26","1,376.73"
86,PUTUMAYO,86569,PUERTO CAICEDO,443.54,521.28,"1,378.94",910.40
86,PUTUMAYO,86571,PUERTO GUZMÁN,"4,549.44","1,717.22","4,233.96","2,372.65"
86,PUTUMAYO,86573,PUERTO LEGUÍZAMO,36.45,304.36,508.48,136.64
86,PUTUMAYO,86757,SAN MIGUEL,"1,040.87","3,996.93",544.99,
86,PUTUMAYO,86865,VALLE DEL GUAMUEZ,"2,229.42","11,406.10","9,991.92","1,272.17"
86,PUTUMAYO,86885,VILLAGARZÓN,118.49,724.01,367.38,"1,565.31"
95,GUAVIARE,95001,SAN JOSÉ DEL GUAVIARE,"6,375.46","8,946.36","4,731.92","7,483.03"
95,GUAVIARE,95015,CALAMAR,"1,150.35","1,746.02","1,924.94","1,273.72"
95,GUAVIARE,95025,EL RETORNO,"2,334.16","3,304.59","4,070.99","2,070.41"
95,GUAVIARE,95200,MIRAFLORES,"2,004.99",717.49,222.28,"2,234.07"
97,VAUPÉS,97161,CARURÚ,340.17,,,
99,VICHADA,99524,LA PRIMAVERA,,217.10,171.35,
99,VICHADA,99773,CUMARIBO,,"5,267.93","7,021.55","5,900.90"
